UNIT,LAND USE,CN_A_low,CN_A_high,CN A,CNv
TR-236,PC,63,95,97,0
VI-336,PC,63,95,91,0.13
RD-364,PC,63,95,87,0.25
RZ-3,PC,63,95,71,0.75
VI-377,PC,63,95,83,0.38
TR-474,PC,63,95,94,0.03
RD-347,PC,63,95,83,0.38
TR-464,PC,63,95,85,0.31
VI-617,PC,63,95,94,0.03
MS-210,PC,63,95,80,0.47
RD-348,PC,63,95,49,1
RD-468,PZ,53,80,76,0.15
RD-478,PZ,53,80,88,0
TR-256,SB,38,69,57,0.39
TR-483,SB,38,69,67,0.06
TR-246,SB,38,69,49,0.65
RD-255,SB,38,69,66,0.1
TR-271,SB,38,69,72,0
VI-319,SSce,54,78,63,0.63
TR-258,SSce,54,78,72,0.25
VI-276,SSce,54,78,60,0.75
VI-607,SSce,54,78,65,0.54
TR-245,SSce,54,78,67,0.46
TR-259,SSce,54,78,73,0.21
VI-290,SSce,54,78,69,0.38
TR-229,SSce,54,78,62,0.67
VI-531,SSce,54,78,61,0.71
TR-224,SSce,54,78,68,0.42
TR-257,SSce,54,78,68,0.42
VI-306,SSce,54,78,54,1
VI-293,SSce,54,78,61,0.71
VI-650,SSce,54,78,60,0.75
TR-237,SSce,54,78,66,0.5
VI-376,SScv,55,78,68,0.43
TR-234,SScv,55,78,64,0.61
VI-720,SScv,55,78,64,0.61
VI-345,SScv,55,78,68,0.43
VI-327,SScv,55,78,65,0.57
RD-322,SScv,55,78,42,1
VI-646,SScv,55,78,69,0.39
VI-275,SScv,55,78,60,0.78
TR-239,SScv,55,78,81,0
RD-220,SSse,49,72,68,0.17
RD-417,SSse,49,72,69,0.13
TR-265,SSse,49,72,70,0.09
TR-448,SSse,49,72,70,0.09
TR-446,SSse,49,72,77,0
RD-420,SSse,49,72,69,0.13
RD-345,SSse,49,72,67,0.22
VI-703,SSse,49,72,56,0.7
RD-325,SSse,49,72,65,0.3
TR-252,SSse,49,72,63,0.39
RD-319,SSse,49,72,71,0.04
VI-633,SSse,49,72,72,0
TR-235,SSse,49,72,69,0.13
VI-342,SSsv,52,78,65,0.5
RD-457,SSsv,52,78,62,0.62
VI-505,SSsv,52,78,80,0
RD-419,SSsv,52,78,42,1
RD-560,SSsv,52,78,64,0.54
VI-340,SSsv,52,78,72,0.23
TR-233,SSsv,52,78,70,0.31
RD-320,SSsv,52,78,69,0.35
VI-711,SSsv,52,78,77,0.04
VI-482,SSsv,52,78,70,0.31
VI-504,SSsv,52,78,67,0.42
TR-332,SSsv,52,78,70,0.31
VI-670,SSsv,52,78,53,0.96
RD-454,SSsv,52,78,58,0.77
VI-532,SSsv,52,78,64,0.54
VI-347,SSsv,52,78,67,0.42
RD-248,SSsv,52,78,58,0.77
RD-418,SSsv,52,78,63,0.58
VI-707,SSsv,52,78,69,0.35
RD-261,SSsv,52,78,66,0.46
TR-281,VC,46,95,99,0
VI-296,VC,46,95,99,0
VI-690,VC,46,95,99,0
RD-393,VC,46,95,94,0.02
VI-672,VC,46,95,82,0.27
RD-327,VC,46,95,99,0
RD-361,VC,46,95,98,0
TR-263,VC,46,95,99,0
RD-133,VC,46,95,99,0
TR-261,ZDd,30,63,68,0
RD-391,ZDd,30,63,46,0.52
TR-449,ZDd,30,63,74,0
VI-608,ZDo,39,85,71,0.3
RD-392,ZDo,39,85,39,1
RD-554,ZDo,39,85,80,0.11
RD-553,ZDo,39,85,77,0.17
RD-28,ZDo,39,85,39,1
RD-550,ZDo,39,85,67,0.39
VI-303,ZDo,39,85,68,0.37
RD-552,ZDo,39,85,79,0.13
VI-691,ZDo,39,85,89,0
RD-547,ZDo,39,85,48,0.8
VI-298,ZDo,39,85,93,0
RD-324,ZDo,39,85,52,0.72
TR-200,ZPp,33,63,31,1
VI-379,ZPp,33,63,54,0.3
VI-324,ZPp,33,63,43,0.67
VI-254,ZPp,33,63,79,0
VI-414,ZPp,33,63,51,0.4
RD-262,ZPp,33,63,97,0
TR-328,ZPp,33,63,41,0.73
TR-329,ZS,34,60,46,0.54
